trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-96.25281744042225,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.81}",20,0,-143.18635528110335,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",20,0,-86.9309143814236,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.6561}",20,0,-112.89256730418091,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000001}",20,10,-13.531149708350576,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.531441}",30,13,-74.14545297269791,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.4782969000000001}",25,0,-86.79458541501108,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.4304672100000001}",20,12,14.531816132404902,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.3874204890000001}",20,0,-87.50697310346797,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.3486784401000001}",25,0,16.231533666284548,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.31381059609000006}",25,0,12.839012237475652,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.2824295364810001}",20,0,-67.20183687688159,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.2541865828329001}",20,0,-35.165729825016285,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.2287679245496101}",25,0,-50.06593408901317,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.20589113209464907}",25,0,13.288804042940535,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.18530201888518416}",25,14,-0.29881547448765833,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",20,6,26.567039992596495,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
